,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Rank,Value,age
39,Antonin,Britt,1,64,1993-08-28,184,5,40000,N,1,8,011 Northland Trail,2160,0,Australia,9,0.43,0.5375,0.671875,0.671875,40,40,1.434375,9785.0
40,Vinny,Incogna,0,73,1953-02-13,184,3,20000,N,0,10,8 Grayhawk Circle,2756,0,Australia,8,0.62,0.62,0.62,0.62,40,40,1.434375,24591.0
41,Colene,Fishleigh,0,24,1985-03-14,51,2,1000,N,0,3,44 Darwin Lane,3149,2,Australia,10,0.54,0.54,0.675,0.57375,42,42,1.421875,12874.0
42,Neile,Argent,0,79,1946-10-25,184,7,1000,N,0,8,2548 Arrowood Pass,2024,0,Australia,10,0.83,0.83,1.0375,0.8818749999999999,42,42,1.421875,26894.0
43,Corinna,Suggey,0,52,1966-09-18,51,9,40000,N,0,9,938 Ilene Road,2761,0,Australia,8,0.89,0.89,0.89,0.89,44,44,1.42109375,19626.0
44,Brooke,Arling,1,76,1961-12-05,184,9,20000,N,0,6,6 Melby Center,3027,2,Australia,5,0.97,0.97,0.97,0.97,44,44,1.42109375,21374.0
45,Gipsy,Ewestace,0,29,1956-08-30,33,7,20000,N,1,5,08708 Moulton Park,2034,0,Australia,12,0.53,0.6625000000000001,0.8281250000000001,0.8281250000000001,46,46,1.4078125,23297.0
46,Sheena,Kybbye,0,14,1956-07-16,108,2,40000,N,1,19,306 Clemons Junction,4852,1,Australia,1,0.91,1.1375,1.1375,1.1375,46,46,1.4078125,23342.0
47,Jobina,Gobourn,0,85,1994-12-04,176,9,20000,N,1,14,18 Grim Road,4305,1,Australia,4,0.48,0.6,0.75,0.75,46,46,1.4078125,9322.0
48,Gale,Disbrow,0,59,1977-05-14,44,2,1000,N,1,17,169 Bashford Drive,3741,2,Australia,7,1.07,1.3375,1.3375,1.136875,46,46,1.4078125,15735.0
49,Thaxter,Kingsbury,1,12,1950-05-03,112,0,1000,N,0,20,3 Vermont Lane,2067,0,Australia,12,0.86,0.86,1.075,0.91375,50,50,1.40625,25608.0
50,Heinrick,Shilstone,1,60,1978-02-11,184,5,40000,N,0,10,998 Gale Park,3174,2,Australia,8,0.43,0.43,0.43,0.43,50,50,1.40625,15462.0
51,Taylor,Steuhlmeyer,1,62,1999-03-22,108,2,40000,N,1,5,64 Mcguire Trail,4017,1,Australia,8,1.06,1.325,1.325,1.325,52,52,1.39453125,7753.0
52,Griswold,Kelsall,1,55,1993-12-19,145,3,20000,N,1,11,74127 Blaine Point,3805,2,Australia,7,0.87,1.0875,1.0875,1.0875,52,52,1.39453125,9672.0
53,Odessa,Mc Andrew,0,97,1981-12-01,184,6,1000,N,0,8,31756 Meadow Valley Lane,2232,0,Australia,10,0.62,0.62,0.775,0.65875,54,54,1.38125,14073.0
54,Lavena,Seekings,0,87,1995-03-25,109,7,1000,N,0,16,293 Mayfield Street,3166,2,Australia,10,0.98,0.98,1.225,1.04125,54,54,1.38125,9211.0
55,Martelle,Tuppeny,0,52,1981-02-03,93,5,1000,N,0,9,261 Grayhawk Way,2226,0,Australia,10,0.98,0.98,1.225,1.04125,54,54,1.38125,14374.0
56,Briant,Ladley,1,75,1979-12-17,125,0,1000,N,0,12,2 Schlimgen Terrace,2750,0,Australia,8,0.62,0.62,0.62,0.527,57,57,1.375,14788.0
57,Marylou,Kirkup,0,51,1972-10-31,175,9,1000,N,0,14,76733 Sunbrook Terrace,3196,2,Australia,9,0.66,0.66,0.8250000000000001,0.70125,57,57,1.375,17391.0
58,Whittaker,,1,64,1966-07-29,98,9,1000,N,1,8,683 Florence Way,3156,2,Australia,5,0.98,1.225,1.225,1.04125,57,57,1.375,19677.0
59,Normy,Goodinge,2,5,,23,4,1000,N,0,4,7232 Fulton Parkway,3810,2,Australia,5,0.78,0.78,0.78,0.663,57,57,1.375,17950.413021363172
60,Lorrie,Antonelli,1,47,1983-02-11,44,2,20000,N,1,17,06936 Bobwhite Circle,2257,0,Australia,7,0.4,0.5,0.5,0.5,57,57,1.375,13636.0
61,Jedediah,Kedie,1,31,1971-12-29,53,0,1000,N,1,9,283 Acker Drive,2763,0,Australia,9,0.43,0.5375,0.671875,0.57109375,62,62,1.36796875,17698.0
62,Kaine,Smallcombe,1,59,1942-02-06,142,2,20000,N,0,11,9 Mosinee Parkway,2072,0,Australia,10,0.48,0.48,0.6,0.6,62,62,1.36796875,28616.0
63,Loise,Iltchev,0,70,1967-03-18,59,5,20000,N,1,17,45 Becker Place,4504,1,Australia,6,1.05,1.3125,1.3125,1.3125,62,62,1.36796875,19445.0
64,Cristen,Maroney,0,22,1999-11-21,9,4,20000,N,1,7,27 Karstens Crossing,4214,1,Australia,7,0.58,0.725,0.725,0.725,65,65,1.3625,7509.0
65,Dorothy,Barnardo,0,58,1983-02-01,87,7,20000,N,0,12,9630 Cottonwood Avenue,2168,0,Australia,8,0.57,0.57,0.57,0.57,65,65,1.3625,13646.0
66,Rosmunda,Duxbarry,0,69,1996-07-20,66,6,40000,N,1,5,989 Graedel Terrace,4208,1,Australia,11,0.83,1.0375,1.296875,1.296875,65,65,1.3625,8728.0
67,Rozamond,Riha,0,54,1984-10-07,2,5,40000,N,1,16,76 Bartelt Center,4078,1,Australia,7,0.59,0.7374999999999999,0.7374999999999999,0.7374999999999999,68,68,1.3546875,13032.0
68,Gunner,Petti,1,62,1999-06-08,66,2,20000,N,1,3,29778 Mendota Drive,4036,1,Australia,5,0.62,0.775,0.775,0.775,68,68,1.3546875,7675.0
69,Vivienne,Crayden,0,82,1988-09-18,23,9,20000,N,1,6,69 Algoma Center,4173,1,Australia,7,1.01,1.2625,1.578125,1.578125,68,68,1.3546875,11590.0
70,Sherilyn,Canero,0,11,1996-08-03,50,3,20000,N,1,13,8288 Lyons Way,2484,0,Australia,7,0.8,1.0,1.0,1.0,68,68,1.3546875,8714.0
71,Bessie,Roscow,0,78,1994-08-04,70,2,1000,N,0,9,4185 Florence Trail,2121,0,Australia,10,0.57,0.57,0.7124999999999999,0.6056249999999999,72,72,1.35,9444.0
72,Kevina,Ferandez,0,73,1999-09-21,22,2,20000,N,0,15,9608 Heffernan Drive,4068,1,Australia,9,0.97,0.97,1.2125,1.2125,72,72,1.35,7570.0
73,Yancy,Clementet,1,5,1968-02-16,95,9,20000,N,0,15,9 Union Center,2147,0,Australia,9,0.5,0.5,0.625,0.625,72,72,1.35,19110.0
74,Mabelle,Wellbelove,0,76,1958-04-21,184,2,40000,N,1,19,800 Emmet Park,2219,0,Australia,9,0.85,1.0625,1.328125,1.328125,72,72,1.35,22698.0
75,Hasheem,Groucock,1,98,1974-09-17,32,5,20000,N,1,10,12351 Spenser Pass,2034,0,Australia,12,0.54,0.675,0.84375,0.84375,72,72,1.35,16705.0
76,Tobias,Woodhams,1,0,1961-04-15,133,3,1000,N,0,17,4 Valley Edge Plaza,2759,0,Australia,9,1.0,1.0,1.25,1.0625,77,77,1.34140625,21608.0
77,Glennis,Flintoff,0,36,1956-10-22,154,3,40000,N,1,13,1601 Rutledge Lane,3030,2,Australia,7,0.72,0.8999999999999999,0.8999999999999999,0.8999999999999999,78,78,1.3375,23244.0
78,Chanda,Mensler,0,15,1972-01-14,43,5,1000,N,1,13,0 Mockingbird Plaza,2212,0,Australia,10,0.46,0.5750000000000001,0.7187500000000001,0.6109375000000001,78,78,1.3375,17682.0
79,Katheryn,Kinner,0,15,1973-11-28,19,1,20000,N,0,6,1665 Kenwood Center,2518,0,Australia,6,0.68,0.68,0.68,0.68,78,78,1.3375,16998.0
80,Sumner,Carrivick,1,53,1995-04-09,52,5,1000,N,0,15,5 4th Center,2097,0,Australia,12,0.77,0.77,0.9625,0.818125,78,78,1.3375,9196.0
81,Valerie,Pickover,0,34,1965-09-08,58,2,1000,N,0,9,92214 Spenser Road,2756,0,Australia,8,0.81,0.81,0.81,0.6885,78,78,1.3375,20001.0
82,Esther,Rooson,0,14,1981-02-22,184,2,1000,N,0,5,5186 Main Trail,2046,0,Australia,9,0.62,0.62,0.775,0.65875,78,78,1.3375,14355.0
83,Gardie,Crellim,1,58,1975-09-12,28,5,20000,N,0,8,564 Forest Dale Avenue,3161,2,Australia,12,0.54,0.54,0.675,0.675,84,84,1.328125,16345.0
84,Sean,O'Loughlin,1,48,1961-03-22,48,5,20000,N,1,16,83 Old Gate Point,2576,0,Australia,10,0.73,0.9125,1.140625,1.140625,85,85,1.325,21632.0
85,Pietra,Buckleigh,0,9,1949-04-29,62,9,20000,N,0,13,387 Dixon Alley,2024,0,Australia,10,0.48,0.48,0.6,0.6,85,85,1.325,25977.0
86,Marysa,Rouchy,0,8,1999-02-15,21,1,40000,N,0,5,411 Twin Pines Way,2026,0,Australia,9,0.97,0.97,1.2125,1.2125,85,85,1.325,7788.0
87,Kahaleel,,1,5,1942-11-01,70,9,20000,N,0,13,12 Arapahoe Park,2035,0,Australia,12,0.84,0.84,1.05,1.05,88,88,1.31484375,28348.0
88,Ossie,Midden,1,49,1950-02-10,111,5,1000,N,1,14,4915 Debra Center,2479,0,Australia,9,0.51,0.6375,0.796875,0.67734375,89,89,1.3125,25690.0
89,Sid,Carlone,1,24,1971-08-18,165,3,40000,N,0,16,76 Sunnyside Avenue,4670,1,Australia,2,0.67,0.67,0.67,0.67,89,89,1.3125,17831.0
90,Ludovico,Juster,1,93,1992-04-19,64,9,40000,N,0,15,1 Talisman Avenue,2125,0,Australia,10,1.07,1.07,1.3375,1.3375,89,89,1.3125,10281.0
91,Patricia,Everix,0,34,1978-02-19,57,3,1000,N,0,19,91164 Washington Terrace,2263,0,Australia,7,0.71,0.71,0.71,0.6034999999999999,89,89,1.3125,15454.0
92,Andromache,Bonafacino,0,84,1977-09-01,184,7,1000,N,0,11,74 Carpenter Street,2015,0,Australia,9,0.71,0.71,0.8875,0.7543749999999999,89,89,1.3125,15625.0
93,Levy,Abramamov,1,94,1952-09-21,171,9,40000,N,1,14,6776 Anderson Center,4037,1,Australia,8,0.44,0.55,0.6875,0.6875,89,89,1.3125,24736.0
94,Nobe,McAughtry,1,25,1978-12-14,184,9,1000,N,0,12,1 Orin Hill,4510,1,Australia,5,0.75,0.75,0.75,0.6375,89,89,1.3125,15156.0
95,Jehu,Prestedge,1,91,1999-10-20,184,5,20000,N,1,8,88 Annamark Avenue,2138,0,Australia,12,0.53,0.6625000000000001,0.8281250000000001,0.8281250000000001,96,96,1.3,7541.0
96,Symon,Mawne,1,18,1943-02-08,86,6,1000,N,1,15,37439 High Crossing Circle,3350,2,Australia,4,0.66,0.8250000000000001,0.8250000000000001,0.70125,96,96,1.3,28249.0
97,Karlik,Penchen,1,60,1994-10-31,102,7,1000,N,0,11,5 Nevada Point,4017,1,Australia,6,1.06,1.06,1.06,0.901,96,96,1.3,9356.0
98,Bengt,Bilson,1,26,1972-11-02,165,5,20000,N,0,11,67 Grayhawk Circle,2232,0,Australia,10,0.61,0.61,0.7625,0.7625,99,99,1.296875,17389.0
99,Evangelin,Boc,0,30,2000-05-09,164,5,20000,N,1,14,0 Meadow Ridge Street,3173,2,Australia,8,0.57,0.7124999999999999,0.7124999999999999,0.7124999999999999,99,99,1.296875,7339.0
100,Hanny,Treven,0,84,1991-01-22,23,7,1000,N,0,3,5 Quincy Street,4118,1,Australia,4,0.77,0.77,0.9625,0.818125,99,99,1.296875,10734.0
101,Gina,Mallon,0,56,1994-02-11,50,3,1000,N,0,12,13025 Johnson Plaza,4670,1,Australia,2,1.1,1.1,1.1,0.935,102,102,1.28828125,9618.0
102,Reynold,Elman,1,19,1940-01-18,94,5,1000,N,0,9,966 Sunnyside Center,2390,0,Australia,2,0.74,0.74,0.74,0.629,102,102,1.28828125,29366.0
103,Flossy,Concannon,0,64,1980-10-20,158,2,40000,N,0,8,802 Mallory Park,3919,2,Australia,2,0.57,0.57,0.57,0.57,104,104,1.2875,14480.0
104,Cristen,Wiltshire,0,59,1961-10-20,177,2,20000,N,1,15,93 Judy Drive,3047,2,Australia,6,0.91,1.1375,1.1375,1.1375,104,104,1.2875,21420.0
105,Griffith,Escot,1,50,1946-10-23,8,4,1000,N,1,16,94 Manitowish Court,4116,1,Australia,3,0.91,1.1375,1.1375,0.9668749999999999,104,104,1.2875,26896.0
106,Jamie,Jiruca,0,21,1963-06-16,126,0,1000,N,0,18,5013 Erie Crossing,2230,0,Australia,9,0.76,0.76,0.95,0.8075,104,104,1.2875,20816.0
107,Lyon,Brittan,1,14,1972-04-23,138,7,20000,N,0,19,540 Sachs Road,3153,2,Australia,8,0.4,0.4,0.4,0.4,104,104,1.2875,17582.0
108,Aridatha,Sephton,0,95,1961-10-22,84,9,1000,N,0,5,422 Forster Circle,2340,0,Australia,1,0.93,0.93,1.1625,0.988125,104,104,1.2875,21418.0
109,Michal,Bryan,0,1,1969-11-09,184,5,1000,N,1,16,4275 Bluestem Pass,4000,1,Australia,8,0.56,0.7000000000000001,0.7000000000000001,0.5950000000000001,104,104,1.2875,18478.0
110,Franciska,Stigell,0,95,1968-11-15,69,3,1000,N,1,7,6 Anderson Junction,3802,2,Australia,7,0.5,0.625,0.78125,0.6640625,111,111,1.28125,18837.0
111,Jordan,Clampe,1,37,1939-12-09,159,2,1000,N,1,11,276 Westend Road,4207,1,Australia,5,1.08,1.35,1.35,1.1475,111,111,1.28125,29406.0
112,David,Napoleon,1,72,1961-11-05,165,9,20000,N,0,14,69 Garrison Point,2223,0,Australia,11,1.06,1.06,1.325,1.325,111,111,1.28125,21404.0
113,Meriel,Tapp,0,0,1995-08-13,177,4,1000,N,0,5,65 Milwaukee Hill,3280,2,Australia,2,1.08,1.08,1.08,0.918,114,114,1.275,9070.0
114,Dolley,Starmont,0,53,1977-11-08,75,5,40000,N,0,18,4252 Dovetail Pass,4129,1,Australia,6,0.54,0.54,0.54,0.54,114,114,1.275,15557.0
115,Frederik,Milan,1,45,1997-11-13,184,3,1000,N,0,5,56 Riverside Street,2546,0,Australia,5,0.62,0.62,0.62,0.527,114,114,1.275,8247.0
116,Rollo,Louedey,1,64,1946-07-09,88,8,40000,N,1,17,7 Cascade Park,2089,0,Australia,9,0.94,1.175,1.46875,1.46875,114,114,1.275,27002.0
117,Jerrine,Cosbey,0,21,1978-01-11,90,2,20000,N,1,6,29307 Russell Avenue,3094,2,Australia,9,0.54,0.675,0.84375,0.84375,114,114,1.275,15493.0
118,Roddy,Rubinshtein,1,37,1987-10-08,102,7,1000,N,1,4,3 Mcguire Crossing,4510,1,Australia,7,0.46,0.5750000000000001,0.5750000000000001,0.48875,114,114,1.275,11936.0
119,Viki,Coutts,0,2,1952-12-14,25,6,1000,N,1,7,6 Golf View Alley,2287,0,Australia,4,0.58,0.725,0.725,0.61625,120,120,1.2625,24652.0
120,Ashby,Bispham,1,71,1981-10-29,146,7,40000,N,0,4,83716 Russell Lane,2145,0,Australia,8,0.99,0.99,0.99,0.99,120,120,1.2625,14106.0
121,Alexander,Broadbent,1,57,1997-05-28,52,9,1000,N,0,9,265 Stephen Trail,2209,0,Australia,10,1.0,1.0,1.25,1.0625,120,120,1.2625,8416.0
122,Teddy,Lagadu,0,86,1969-07-20,51,9,20000,N,0,6,2 Charing Cross Trail,2759,0,Australia,8,0.6,0.6,0.75,0.75,120,120,1.2625,18590.0
123,Peria,Rantoull,0,3,1975-03-13,68,2,1000,N,0,4,8350 Moulton Terrace,4500,1,Australia,4,0.99,0.99,0.99,0.8415,120,120,1.2625,16528.0
124,Ludvig,Andren,1,44,1941-02-22,98,9,20000,N,1,15,578 Waywood Circle,4306,1,Australia,5,0.65,0.8125,0.8125,0.8125,125,125,1.26171875,28965.0
125,Elsworth,Abbitt,1,71,1956-02-08,184,3,1000,N,1,6,9722 Northport Way,3500,2,Australia,3,0.73,0.9125,0.9125,0.775625,125,125,1.26171875,23501.0
126,Rebeca,Aggas,0,66,1953-02-27,145,3,40000,N,0,21,7026 Katie Lane,3818,2,Australia,1,0.58,0.58,0.58,0.58,127,127,1.25,24577.0
127,Ricki,Dobrowski,1,13,1975-03-10,36,5,1000,N,1,9,8 Eggendart Pass,2835,0,Australia,1,0.89,1.1125,1.1125,0.945625,127,127,1.25,16531.0
128,Georgetta,Lovett,0,42,1940-02-02,58,7,1000,N,0,12,1 Bluejay Place,4405,1,Australia,1,0.7,0.7,0.7,0.595,127,127,1.25,29351.0
129,Bambi,Cogger,0,51,1990-07-12,51,7,40000,N,1,5,28970 Monument Lane,2560,0,Australia,7,1.01,1.2625,1.2625,1.2625,127,127,1.25,10928.0
130,Aurie,Rhead,0,78,1962-07-28,72,5,40000,N,1,5,235 Mendota Court,2650,0,Australia,2,0.67,0.8375,0.8375,0.8375,127,127,1.25,21139.0
131,Farris,Skettles,1,38,1965-07-03,109,9,1000,N,1,13,49309 Redwing Lane,3240,2,Australia,7,1.05,1.3125,1.3125,1.115625,132,132,1.2484375,20068.0
132,Sharline,Abyss,0,11,1960-03-18,184,9,1000,N,1,15,367 Bay Point,4011,1,Australia,4,0.5,0.625,0.625,0.53125,133,133,1.2375,22001.0
133,Nowell,Preddy,1,29,1985-07-23,184,5,1000,N,0,9,932 Glendale Avenue,2173,0,Australia,9,0.45,0.45,0.5625,0.478125,133,133,1.2375,12743.0
134,Lacy,Drance,0,27,1978-02-05,76,5,40000,N,1,14,492 Waywood Lane,2750,0,Australia,8,1.06,1.325,1.325,1.325,133,133,1.2375,15468.0
135,Padraig,Snel,1,89,1970-11-08,156,9,1000,N,0,19,12683 Mifflin Point,2114,0,Australia,7,0.95,0.95,1.1875,1.009375,133,133,1.2375,18114.0
136,Malorie,Votier,0,90,1990-05-29,76,5,40000,N,0,4,6160 Weeping Birch Hill,4509,1,Australia,5,1.05,1.05,1.3125,1.3125,133,133,1.2375,10972.0
137,Shepperd,Ricards,1,28,1967-09-27,145,3,1000,N,1,16,7 Oakridge Lane,2284,0,Australia,4,0.53,0.6625000000000001,0.6625000000000001,0.5631250000000001,133,133,1.2375,19252.0
138,Daryl,Pauncefort,0,12,1979-06-18,38,2,1000,N,1,12,0 Dexter Parkway,2380,0,Australia,3,1.09,1.3625,1.3625,1.158125,133,133,1.2375,14970.0
139,Norina,Blakeway,0,60,1980-02-11,115,6,1000,N,1,3,75813 Lawn Lane,3081,2,Australia,8,1.08,1.35,1.35,1.1475,133,133,1.2375,14732.0
140,My,Chaston,1,92,1966-07-16,52,5,40000,N,1,16,74613 Northport Park,3765,2,Australia,9,0.65,0.8125,1.015625,1.015625,133,133,1.2375,19690.0
141,Isak,Bergstram,1,14,2001-03-08,110,3,40000,N,1,15,68 Karstens Pass,2176,0,Australia,9,1.07,1.3375,1.671875,1.671875,142,142,1.23515625,7036.0
142,Grannie,Cracker,1,28,1949-03-06,174,7,1000,N,1,20,87254 Hermina Pass,4217,1,Australia,8,0.44,0.55,0.55,0.4675,142,142,1.23515625,26031.0
143,Welby,Lourenco,1,6,1975-12-27,139,2,20000,N,1,17,801 Atwood Alley,2138,0,Australia,9,0.4,0.5,0.625,0.625,144,144,1.234375,16239.0
144,Glenn,Casbourne,0,4,1981-08-08,141,5,1000,N,0,6,2 Morrow Alley,4207,1,Australia,1,0.9,0.9,0.9,0.765,144,144,1.234375,14188.0
145,Nadiya,Balasini,0,40,1950-11-05,137,2,1000,N,0,15,92934 Mallory Trail,2164,0,Australia,9,0.84,0.84,1.05,0.8925,146,146,1.225,25422.0
146,Tyne,Coate,0,82,1965-07-15,54,5,1000,N,0,17,90820 Thackeray Street,2218,0,Australia,8,0.65,0.65,0.8125,0.6906249999999999,146,146,1.225,20056.0
147,Christie,Anders,1,38,1969-10-02,174,7,1000,N,0,16,48 Ludington Plaza,2153,0,Australia,10,0.54,0.54,0.675,0.57375,146,146,1.225,18516.0
148,Agnella,Capener,0,58,1969-05-21,171,3,20000,N,0,19,49185 Derek Circle,3977,2,Australia,6,0.65,0.65,0.65,0.65,146,146,1.225,18650.0
149,Bernardine,Delmonti,0,39,1971-03-31,184,6,1000,N,0,17,0721 Meadow Ridge Pass,2540,0,Australia,8,0.53,0.53,0.53,0.4505,146,146,1.225,17971.0
150,Daisy,Spowart,0,60,1967-12-18,155,3,40000,N,1,4,115 Westridge Road,4570,1,Australia,3,0.7,0.875,0.875,0.875,146,146,1.225,19170.0
