,customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,sum,address,postcode,state,country,property_valuation,age
20,25,Geoff,Assaf,1,72,1976-12-02,12,2,1000,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ,1,21.0,9996.33,28 5th Center,4413,1,Australia,3,15898.0
21,26,Trixi,Ginnelly,0,12,1978-06-10,63,2,1000,N,"<>?:""{}|_+",1,16.0,3943.12,52 Carey Alley,4740,1,Australia,5,15343.0
22,27,Garvin,Klees,1,37,1978-09-25,140,3,1000,N,"''''""",1,12.0,7679.97,96 Texas Plaza,3218,2,Australia,7,15236.0
23,28,Fee,Zellmer,1,5,1973-09-30,151,3,40000,N,",./;'[]\-=",1,21.0,5492.900000000001,48 Eagan Avenue,4868,1,Australia,4,17057.0
24,29,Mona,Sancraft,0,62,1968-06-22,143,5,1000,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,0,19.0,10855.57,9 Buell Park,4116,1,Australia,7,18983.0
25,30,Darrick,Helleckas,1,18,1961-10-18,195,4,40000,N,ì¬íê³¼íì ì´íì°êµ¬ì,1,6.0,3736.5199999999995,02663 Buell Parkway,2519,0,Australia,11,21422.0
26,31,Star,Praton,0,3,1962-11-24,166,8,20000,N,testâ testâ«,1,14.0,3109.9999999999995,2294 Pleasure Place,2135,0,Australia,12,21020.0
27,32,Marion,Vanichkin,0,17,1995-04-20,97,5,40000,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,0,4.0,7873.18,2951 Petterle Place,2756,0,Australia,9,9185.0
28,33,Ernst,Hacon,1,44,1957-06-25,119,9,40000,N,<script>alert('hi')</script>,1,11.0,9384.23,63 Lukken Drive,2170,0,Australia,9,22998.0
29,34,Jephthah,Bachmann,2,59,1943-12-21,97,4,40000,N,,0,20.0,13133.000000000002,833 Luster Way,4005,1,Australia,8,27933.0
30,35,Margaretha,Strettle,0,40,1963-09-28,94,3,20000,N,!@#$%^&*(),1,16.0,4182.28,34 Russell Plaza,4127,1,Australia,6,20712.0
31,36,Lurette,Stonnell,0,33,1977-11-09,185,9,40000,N,"<>?:""{}|_+",0,22.0,1781.04,78 Del Sol Hill,2535,0,Australia,8,15556.0
32,37,Laurie,Dwerryhouse,0,46,1985-12-22,153,3,20000,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,0,16.0,11291.71,54 Sage Plaza,4726,1,Australia,1,12591.0
33,38,Cordi,Merman,0,37,1955-10-29,147,2,40000,N,"''''""",0,20.0,4502.59,90 Lawn Parkway,4805,1,Australia,4,23603.0
34,39,Hunfredo,Smalley,1,5,1979-04-16,23,1,1000,N,',0,22.0,11237.19,38726 Ilene Crossing,2212,0,Australia,10,15033.0
35,40,Tomasine,Jerche,0,91,1981-10-27,116,5,40000,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,0,14.0,6175.27,3496 Brown Drive,2207,0,Australia,8,14108.0
36,41,Basilius,Coupe,1,64,1976-04-14,74,3,1000,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },0,16.0,9114.150000000001,7188 Cody Way,3350,2,Australia,9,16130.0
37,42,Chiquita,Durnall,0,24,1977-03-28,8,5,1000,N,"<>?:""{}|_+",0,18.0,1936.46,1 Claremont Park,3931,2,Australia,10,15782.0
38,43,Indira,Belt,0,38,1983-03-01,62,7,1000,N,â°â´âµ,0,5.0,6574.59,60 Eagan Circle,4018,1,Australia,8,13618.0
39,44,Neron,Verick,1,63,1981-10-18,23,1,40000,N,../../../../../../../../../../../etc/passwd%00,1,17.0,7497.399999999999,89314 Eagle Crest Center,4670,1,Australia,2,14117.0
40,45,Trace,Woodhead,1,64,1975-09-23,150,2,1000,N,åè£½æ¼¢èª,0,8.0,2912.33,2028 Lakewood Place,2480,0,Australia,3,16334.0
41,46,Kaila,Allin,0,98,1972-02-26,195,9,40000,N,â°â´âµâââ,1,15.0,4923.14,70875 Hudson Point,3212,2,Australia,6,17639.0
42,47,Matthew,Jeaycock,1,51,1992-10-22,134,3,40000,N,<script>alert('hi')</script>,0,2.0,8022.01,543 Killdeer Park,2322,0,Australia,4,10095.0
43,48,Rebbecca,Casone,0,46,1975-08-15,31,9,1000,N,../../../../../../../../../../../etc/hosts,1,8.0,9654.119999999999,22125 Ramsey Drive,3198,2,Australia,9,16373.0
44,49,Nolly,Ownsworth,1,63,1994-01-26,185,9,40000,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,0,1.0,7582.920000000001,3107 Calypso Terrace,2210,0,Australia,9,9634.0
45,50,Whitby,Schapero,1,38,1980-10-01,1,5,1000,N,0/0,1,16.0,9252.66,957 Veith Junction,2047,0,Australia,10,14499.0
46,51,Fidelio,Dilke,1,68,1959-12-05,46,7,1000,N,ãã¼ãã£ã¼ã¸è¡ããªãã,0,18.0,9667.460000000003,4853 Gulseth Avenue,4503,1,Australia,5,22105.0
47,52,Curran,Bentson,1,57,1988-06-22,195,2,1000,N,2018-02-01 00:00:00,1,13.0,10106.57,9 Michigan Terrace,2145,0,Australia,8,11678.0
48,53,Agnella,Gocke,0,22,1954-04-18,160,2,1000,N,1,0,16.0,5472.74,62 Steensland Road,4350,1,Australia,3,24162.0
49,54,Loralyn,Wonfor,0,2,1966-07-24,145,6,1000,N,-0.5,1,18.0,9813.66,6 Homewood Avenue,2142,0,Australia,8,19682.0
50,55,Linc,Jillions,1,48,1956-09-24,115,2,40000,N,ZÌ®ÌÍÌ ÍÍAÌ¥ÌÌÍÌ»ÌLÌ£ÍÍÌ¯Ì¹ÌÍGÌ»OÌ­ÌÌ®,1,7.0,6754.209999999999,15 Almo Lane,2029,0,Australia,10,23272.0
51,56,Reese,Ensor,1,44,1996-07-04,186,6,1000,N,ã,1,4.0,5060.86,690 Glacier Hill Circle,2127,0,Australia,10,8744.0
52,57,Abba,Masedon,1,87,1988-06-13,40,9,1000,N,100,1,13.0,8748.75,89787 Village Green Terrace,4280,1,Australia,6,11687.0
53,58,Dalenna,Pinnock,0,26,1967-07-04,112,2,40000,N,1;DROP TABLE users,1,17.0,6967.3099999999995,18 Elgar Park,2166,0,Australia,9,19337.0
54,59,Niki,Heathcote,1,60,2000-02-08,118,9,20000,N,-1,0,3.0,2797.47,413 Mayer Street,2046,0,Australia,9,7430.0
55,60,Nadiya,Champerlen,0,18,1970-02-04,195,5,1000,N,á,0,10.0,1526.9,39 3rd Drive,2026,0,Australia,10,18391.0
56,61,Kacey,Rowbottom,0,47,1959-11-29,87,6,20000,N,-1,0,13.0,8397.28,44516 Katie Parkway,2765,0,Australia,7,22111.0
57,62,Sorcha,Roggers,0,38,1979-07-06,195,4,1000,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,1,22.0,5845.95,41 Schurz Center,2749,0,Australia,8,14952.0
58,63,Ebony,Zini,0,58,1965-07-03,151,7,1000,N,00ËÆ$-,1,16.0,4156.66,68150 Boyd Road,2745,0,Australia,9,20068.0
59,64,Gerek,Yve,1,73,1978-03-25,97,4,20000,N,ï¼ï¼ï¼,0,4.0,4111.12,11474 Westend Hill,3752,2,Australia,8,15420.0
60,65,Yale,Tanser,1,21,1976-04-01,94,2,40000,N,1/0,1,15.0,8056.47,308 Jana Crossing,2153,0,Australia,10,16143.0
61,66,Anselm,Gawne,1,46,2002-03-11,1,0,20000,N,ï½ï½¨(Â´âï½â©,0,1.0,6489.33,163 Straubel Trail,2217,0,Australia,10,6668.0
62,67,Vernon,,1,67,1960-06-14,192,7,1000,N,<svg><script>0<1>alert('XSS')</script>,0,18.0,5304.15,68294 Clarendon Crossing,2230,0,Australia,10,21913.0
63,68,Dahlia,Eddoes,0,37,1974-04-21,94,9,40000,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,0,9.0,5127.98,486 Mariners Cove Plaza,3046,2,Australia,7,16854.0
64,69,Heidi,Milner,0,16,1969-06-22,192,9,1000,N,0/0,0,6.0,8395.75,0322 Dryden Court,3183,2,Australia,7,18618.0
65,70,Foster,Vannoort,1,78,1993-02-27,115,2,40000,N,ð,0,8.0,4801.11,9 Bonner Road,2070,0,Australia,12,9967.0
66,71,Hoyt,Glavias,1,30,1985-01-27,139,0,40000,N,ï½ï½¨(Â´âï½â©,1,12.0,1415.01,07041 Briar Crest Lane,2213,0,Australia,10,12920.0
67,72,Sammy,Cheese,1,93,1972-02-13,19,5,40000,N,1,1,16.0,4360.42,29466 Hanson Pass,4208,1,Australia,6,17652.0
68,73,Minette,Worters,0,16,1960-05-27,180,9,40000,N,âââ,1,5.0,5265.87,0212 Forest Run Trail,2774,0,Australia,8,21931.0
69,74,Pansy,Kiddie,0,94,1969-06-19,195,9,1000,N,ã»(ï¿£âï¿£)ã»:*:,1,6.0,2985.6400000000003,33055 Menomonie Parkway,4133,1,Australia,8,18621.0
70,75,Dollie,Sealy,0,28,1978-07-15,184,6,1000,N,",ãã»:*:ã»ãâ( â» Ï â» )ãã»:*:ã»ãâ",0,19.0,7130.63,4763 Merchant Avenue,2756,0,Australia,8,15308.0
71,76,Rea,Hasser,0,20,1978-01-23,170,7,20000,N,â¢,1,18.0,7425.04,439 Ridgeway Court,4213,1,Australia,9,15481.0
72,77,Shermie,Andrin,1,79,1989-09-12,29,2,1000,N,1;DROP TABLE users,0,7.0,2964.73,2 Clyde Gallagher Lane,4170,1,Australia,5,11231.0
73,78,Arch,Van der Kruis,1,37,1985-03-12,38,0,40000,N,-100,0,8.0,1139.12,97455 Loeprich Lane,2153,0,Australia,9,12876.0
74,79,Tybi,Silliman,0,76,1968-10-02,1,5,1000,N,ãã¼ãã£ã¼ã¸è¡ããªãã,0,18.0,6761.429999999999,9527 Ridgeway Street,2073,0,Australia,10,18881.0
75,80,Pablo,Small,1,11,1978-04-24,50,1,1000,N,nil,0,13.0,12564.820000000002,7 Jackson Point,3561,2,Australia,1,15390.0
76,81,Bee,Blazewicz,0,58,1986-09-04,195,3,20000,N,â¢,0,13.0,4421.7,74 Anniversary Junction,2330,0,Australia,6,12335.0
77,82,Gleda,Cokely,0,93,1965-06-28,161,6,20000,N,ç°ä¸­ããã«ããã¦ä¸ãã,0,19.0,5293.91,2083 Spaight Court,3977,2,Australia,8,20073.0
78,83,Kerr,Simmell,1,97,1967-02-26,95,4,1000,N,ðµ ð ð ð,1,18.0,4464.650000000001,2796 Caliangt Circle,2204,0,Australia,12,19465.0
79,84,Rich,Mathiasen,1,78,1958-02-07,8,9,1000,N,ì¬íê³¼íì ì´íì°êµ¬ì,1,14.0,5464.65,96061 Ludington Place,2086,0,Australia,11,22771.0
80,85,Kane,Tixall,1,1,1958-05-21,21,9,1000,N,NIL,0,8.0,3158.6299999999997,5037 Merchant Crossing,2226,0,Australia,11,22668.0
81,86,Job,Sleney,1,75,1989-03-04,109,3,20000,N,1,1,7.0,7319.349999999999,289 Haas Street,2075,0,Australia,11,11423.0
82,87,Fields,Langdon,1,78,1974-04-23,63,2,1000,N,"__ï¾(,_,*)",0,8.0,7994.73,4423 Bartelt Parkway,2038,0,Australia,12,16852.0
83,88,Malynda,Tumber,0,41,1966-02-03,87,6,20000,N,Ù¡Ù¢Ù£,1,7.0,5550.83,5 Grim Center,2069,0,Australia,12,19853.0
84,89,Benedicto,Hoxey,1,74,1967-01-22,163,3,1000,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,1,14.0,12741.44,73042 Roth Crossing,2100,0,Australia,11,19500.0
85,90,Cary,Garron,1,76,1984-11-12,130,5,1000,N,!@#$%^&*(),0,11.0,7703.580000000001,171 Fordem Junction,2233,0,Australia,10,12996.0
86,91,Dylan,Meaker,1,69,1955-02-24,150,2,40000,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,1,17.0,8066.4400000000005,2640 Manley Point,2166,0,Australia,9,23850.0
87,92,Jodee,Judkins,0,98,1980-09-11,133,3,1000,N,âââ,0,12.0,5098.43,3 Hintze Pass,3133,2,Australia,10,14519.0
88,93,Gordon,Gowar,1,63,1976-07-16,129,7,1000,N,0/0,1,10.0,5276.13,2 Mcbride Road,3070,2,Australia,10,16037.0
89,94,Wallache,Simchenko,1,33,1974-08-07,41,5,1000,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,0,21.0,8305.77,67234 Transport Hill,2777,0,Australia,7,16746.0
90,95,Nomi,Mallinder,0,67,1960-12-25,157,5,40000,N,"Ø«Ù ÙÙØ³ Ø³ÙØ·Øª ÙØ¨Ø§ÙØªØ­Ø¯ÙØ¯Ø, Ø¬Ø²ÙØ±ØªÙ Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù Ø£Ù Ø¯ÙÙ. Ø¥Ø° ÙÙØ§Ø Ø§ÙØ³ØªØ§Ø± ÙØªÙØµÙØ¨ ÙØ§Ù. Ø£ÙÙÙ Ø§ÙØ·Ø§ÙÙØ§Ø Ø¨Ø±ÙØ·Ø§ÙÙØ§-ÙØ±ÙØ³Ø§ ÙØ¯ Ø£Ø®Ø°. Ø³ÙÙÙØ§ÙØ Ø¥ØªÙØ§ÙÙØ© Ø¨ÙÙ ÙØ§, ÙØ°ÙØ± Ø",1,8.0,5049.799999999999,72 Dorton Crossing,3133,2,Australia,10,21719.0
91,96,Heath,Olford,1,33,1968-08-31,106,5,1000,N,åè£½æ¼¢èª,0,15.0,3874.84,6 Heffernan Center,2125,0,Australia,11,18913.0
92,97,Arne,Corain,1,16,1979-07-27,43,2,1000,N,../../../../../../../../../../../etc/hosts,1,10.0,8895.95,6088 Roxbury Hill,2766,0,Australia,8,14931.0
93,98,Allianora,Babalola,0,19,1956-03-17,144,3,1000,N,,0,7.0,6180.05,105 Shelley Alley,2209,0,Australia,10,23463.0
94,99,Reggie,Mulliner,1,97,1998-06-13,182,2,1000,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,0,3.0,8279.06,079 Merry Park,2160,0,Australia,9,8035.0
95,100,Tripp,Steed,1,80,1968-05-11,76,2,1000,N,ð¾ ð ð ð ð ð ð ð§,1,4.0,2748.2,8722 Summit Alley,2065,0,Australia,12,19025.0
96,101,Goran,Kwietek,1,83,1975-12-29,108,5,20000,N,<img src=x onerror=alert('hi') />,0,11.0,4309.82,9554 Artisan Pass,2150,0,Australia,10,16237.0
97,102,Langsdon,Tranfield,1,51,1956-11-27,130,5,40000,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ,0,16.0,6659.219999999999,55850 Butterfield Road,2168,0,Australia,9,23208.0
98,103,Ethyl,Runham,0,49,1997-04-21,119,2,40000,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,1,4.0,4909.84,68 Little Fleur Crossing,2046,0,Australia,12,8453.0
99,104,Odille,Panketh,0,40,1978-06-06,27,3,1000,N,1;DROP TABLE users,1,9.0,8985.640000000001,85688 New Castle Crossing,4171,1,Australia,10,15347.0
100,105,Maribeth,Pristnor,0,25,2001-09-17,133,5,1000,N,"<>?:""{}|_+",0,1.0,6234.35,8611 Loomis Lane,2155,0,Australia,10,6843.0
101,106,Glyn,,1,54,1966-07-03,161,3,20000,N,ãã¼ãã£ã¼ã¸è¡ããªãã,1,18.0,2906.16,7909 Pierstorff Crossing,2517,0,Australia,9,19703.0
102,107,Pris,Stallebrass,0,97,1990-07-01,108,2,1000,N,ï½ï½¨(Â´âï½â©,1,9.0,3345.1000000000004,01 Muir Parkway,2096,0,Australia,12,10939.0
103,108,Kayle,Mingaud,0,4,1994-03-14,195,9,20000,N,âð¿ ðªð¿ ðð¿ ðð¿ ðð¿ ðð¿,0,3.0,3556.66,0410 Division Junction,2750,0,Australia,8,9587.0
104,109,Cody,Blabey,1,16,1978-12-11,99,9,40000,N,100,1,4.0,10661.51,41 Service Lane,2217,0,Australia,11,15159.0
105,110,Sascha,St. Quintin,1,23,2000-07-31,195,2,40000,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,0,1.0,7788.71,5 Moose Road,3977,2,Australia,8,7256.0
106,111,Cele,Evason,0,65,1993-08-29,21,9,1000,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,0,2.0,4873.0599999999995,7342 Fieldstone Junction,2093,0,Australia,12,9784.0
107,112,Shena,Parren,0,88,1975-08-12,100,7,20000,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,0,12.0,9059.890000000001,0 David Terrace,3204,2,Australia,11,16376.0
108,113,Gage,Nickless,1,67,1956-05-06,168,9,1000,N,(ï½¡â â âï½¡),0,20.0,5412.969999999999,15239 Northwestern Point,4300,1,Australia,4,23413.0
109,114,Sunny,Swindells,0,10,1985-10-23,180,1,40000,N,-100,0,8.0,3233.0,60 Oneill Street,2170,0,Australia,9,12651.0
110,115,Alberik,Mereweather,1,77,1981-12-21,1,3,1000,N,,0,18.0,8398.18,8194 Sachtjen Drive,3844,2,Australia,1,14053.0
111,116,Scottie,Swiffen,1,49,1999-02-05,24,5,40000,N,ð¾ ð ð ð ð ð ð ð§,1,2.0,5663.920000000001,0349 Farmco Terrace,2168,0,Australia,8,7798.0
112,117,Nance,Suttling,0,75,1982-02-23,100,5,1000,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,0,15.0,12856.83,185 Pennsylvania Way,4226,1,Australia,6,13989.0
113,118,Prentice,Pearmain,1,43,1959-11-12,37,9,20000,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,0,19.0,5319.51,432 Longview Circle,3192,2,Australia,10,22128.0
114,119,Willey,Chastanet,1,9,1981-12-04,25,9,20000,N,,1,9.0,5217.66,5814 Bunker Hill Street,3070,2,Australia,7,14070.0
115,120,Sloan,Wagg,1,80,1978-09-02,97,2,20000,N,â°â´âµ,1,4.0,3118.34,7 Carberry Crossing,2485,0,Australia,2,15259.0
116,121,Myles,Pauncefort,1,82,1957-10-02,82,5,1000,N,é¨è½æ ¼,0,15.0,4327.4400000000005,53 Talisman Trail,2097,0,Australia,9,22899.0
117,122,Colver,Itter,1,87,1979-04-19,130,2,1000,N,ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥,1,12.0,6533.39,5 Prairie Rose Road,4817,1,Australia,2,15030.0
118,123,Almeta,Kalinsky,0,85,1988-12-03,21,2,20000,N,1000000000000000049861653971908893017010268485438462151574892930611988399099305815384459015356416,0,15.0,5337.790000000001,84 Florence Parkway,2516,0,Australia,8,11514.0
119,124,Kath,Cunney,0,27,1995-05-03,16,3,20000,N,ç°ä¸­ããã«ããã¦ä¸ãã,1,5.0,8272.15,739 Elmside Way,3074,2,Australia,8,9172.0
120,125,Darrelle,Antoniewski,0,94,1960-03-17,46,6,1000,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,0,16.0,7107.32,684 Northport Circle,2213,0,Australia,10,22002.0
121,126,Norman,Cliff,1,53,1992-10-15,19,3,1000,N,ã»(ï¿£âï¿£)ã»:*:,1,3.0,3448.12,8 Hagan Hill,4508,1,Australia,4,10102.0
122,127,Merrili,Whitear,0,81,1974-12-03,44,2,1000,N,../../../../../../../../../../../etc/passwd%00,0,19.0,9949.619999999999,0 Pearson Crossing,4405,1,Australia,1,16628.0
123,128,Isidro,Cypler,1,73,1977-07-17,177,6,1000,N,á ,1,12.0,3679.75,10918 Merry Way,2452,0,Australia,5,15671.0
124,129,Weidar,Silkstone,1,64,1985-07-20,72,2,20000,N,"__ï¾(,_,*)",1,19.0,4090.48,97 Coolidge Trail,2142,0,Australia,9,12746.0
125,130,Raddy,Delete,1,32,1997-07-18,39,5,1000,N,-100,0,1.0,3340.42,58 Helena Hill,2205,0,Australia,7,8365.0
126,131,Jana,Renyard,0,57,1964-10-16,19,7,20000,N,"×Ö¼Ö°×¨Öµ××©×Ö´××ª, ×Ö¼Ö¸×¨Ö¸× ×Ö±×Ö¹×Ö´××, ×Öµ×ª ×Ö·×©Ö¼×Ö¸×Ö·×Ö´×, ×Ö°×Öµ×ª ×Ö¸×Ö¸×¨Ö¶×¥",0,8.0,8745.28,352 Forster Place,4132,1,Australia,3,20328.0
127,132,Celesta,Willavoys,0,5,1963-07-07,187,5,1000,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,1,9.0,7365.93,12306 Lawn Street,2145,0,Australia,8,20795.0
